image_ids,grapheme_root,vowel_diacritics,consonant_diacritics
আলিপুর_037,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_038,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_039,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_040,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_041,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_042,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_043,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_044,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_045,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_046,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_047,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_048,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_049,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_050,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_051,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_052,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_053,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_054,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_055,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_056,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_057,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_058,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_059,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_060,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_061,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_062,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_063,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_064,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_065,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_066,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_067,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_068,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_069,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_070,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_071,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_072,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_073,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_074,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_075,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_076,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_077,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_078,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_079,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_080,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_081,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_082,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_083,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_084,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_085,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_086,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_087,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_088,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_089,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_090,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_091,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_092,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_093,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_094,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_095,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_096,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_097,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_098,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_099,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_100,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আসানসোল_001,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_002,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_003,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_004,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_005,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_006,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_007,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_008,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_009,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_010,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_011,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_012,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_013,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_014,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_015,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_016,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_017,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_018,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_019,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_020,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_021,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_022,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_023,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_024,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_025,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_026,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_027,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_028,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_029,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_030,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_031,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_032,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_033,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_034,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_035,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_036,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_037,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_038,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_039,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_040,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_041,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_042,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_043,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_044,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_045,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_046,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_047,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_048,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_049,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_050,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_051,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_052,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_053,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_054,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_055,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_056,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_057,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_058,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_059,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_060,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_061,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_062,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_063,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_064,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_065,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_066,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_067,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_068,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_069,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_070,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_071,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_072,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_073,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_074,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_075,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_076,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_077,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_078,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_079,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_080,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_081,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_082,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_083,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_084,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_085,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_086,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_087,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_088,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_089,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_090,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_091,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_092,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_093,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_094,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_095,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_096,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_097,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_098,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_099,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
আসানসোল_100,"[13, 157, 91, 157, 134]","[0, 1, 0, 9, 0]","[0, 0, 0, 0, 0]"
ইংলিশবাজার_001,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_002,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_003,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_004,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_005,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_006,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_007,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_008,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_009,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_010,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_011,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_012,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_013,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_014,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_015,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_016,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_017,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_018,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_019,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_020,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_021,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_022,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_023,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_024,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_025,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_026,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_027,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_028,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_029,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_030,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_031,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_032,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_033,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_034,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_035,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_036,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
ইংলিশবাজার_037,"[14, 10, 134, 143, 117, 53, 133]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
